loan_amnt,int_rate,annual_inc,dti,fico_range_low,grade,term,home_ownership,loan_status
16236.203565420874,9.517525647933773,28946.66992669679,21.227150115142425,726,B, 60 months,RENT,Fully Paid
33521.42919229748,16.296118000188805,29847.960382032423,25.892894211083217,636,A, 36 months,OWN,Fully Paid
26959.818254342154,22.585970881651757,42792.266023628035,26.064382885454883,623,D, 60 months,MORTGAGE,Charged Off
22959.7545259111,19.912272841781665,61109.29761796408,10.150817231163487,780,B, 36 months,MORTGAGE,Fully Paid
9680.559213273096,21.324661809367544,84808.47651942809,20.00338256229881,575,A, 36 months,MORTGAGE,Charged Off
9679.83561008608,18.51688396750363,30275.455980370705,17.35874285102306,536,E, 60 months,RENT,Fully Paid
6742.508365045984,19.153254725839197,120043.94239697958,31.115808988081525,675,C, 60 months,OWN,Fully Paid
30985.284373248054,22.134717379741065,41661.21334681767,23.942567636551292,790,D, 60 months,RENT,Fully Paid
23033.450352296266,10.743692168324532,48396.34742304332,20.975121992479455,613,D, 36 months,MORTGAGE,Fully Paid
26242.177333881365,15.29907430921967,31309.37938530658,8.461839265367521,518,D, 60 months,OWN,Charged Off
5617.534828874073,10.202979394572441,25000.0,23.169136679702344,601,C, 60 months,MORTGAGE,Charged Off
34097.29556485983,24.765692151936292,83318.61210380383,8.516117170407004,651,A, 60 months,MORTGAGE,Fully Paid
29973.27922401265,23.93712745404565,76275.44458314494,15.116197266972563,548,B, 60 months,RENT,Fully Paid
11370.173320348284,6.7491094160016125,41406.92704436019,9.285258944429955,697,A, 60 months,MORTGAGE,Fully Paid
10454.74901621302,19.405928277798083,51031.299050344955,25.762209410731067,799,B, 60 months,OWN,Fully Paid
10502.135295603013,23.579718030897652,66807.02579877697,11.187563415084579,635,D, 60 months,MORTGAGE,Charged Off
14127.267288786132,9.430931557419337,25000.0,16.75578119564078,606,A, 60 months,MORTGAGE,Fully Paid
20742.692948967135,16.79095938049996,35687.95063582594,31.87024332856336,620,D, 60 months,RENT,Charged Off
17958.350559263476,23.394277654172797,78949.11482461312,11.12949150196911,534,E, 36 months,OWN,Charged Off
13736.874205941258,6.644973593130178,25000.0,20.234151918763374,764,D, 36 months,RENT,Fully Paid
23355.586841671386,19.250985077689958,58462.1467277213,17.57814983498066,624,D, 60 months,MORTGAGE,Fully Paid
9184.815819561256,11.649631140078466,25000.0,5.543721231371892,616,B, 36 months,RENT,Fully Paid
13764.339456056545,23.563527712154077,64851.67313313496,28.782743407184384,697,E, 36 months,RENT,Charged Off
15990.855298810751,24.450106658141987,47983.62618847251,7.0713771894379915,632,D, 60 months,RENT,Charged Off
18682.099526511076,23.941063293155246,25000.0,19.227650629308606,694,D, 60 months,RENT,Charged Off
28555.27884179041,15.010070116491812,98601.6833218095,21.8203488481685,518,E, 60 months,MORTGAGE,Fully Paid
10990.213464750792,22.378810368796955,31547.355777592707,23.852793698437612,744,E, 60 months,MORTGAGE,Charged Off
20427.03315240835,22.046438572166338,30147.236446088275,25.658948879236267,782,A, 60 months,OWN,Fully Paid
22772.437065861275,12.062908991621857,55289.678158211005,12.598171505681453,694,B, 60 months,RENT,Fully Paid
6393.512381599932,21.749394008862872,97653.65934142585,5.299363299753481,786,E, 36 months,RENT,Fully Paid
23226.34555704315,6.70314505959436,26649.000084614603,26.70330987064736,545,E, 60 months,OWN,Fully Paid
10115.723710618746,17.32912769115901,50868.9455822466,21.069697980427357,643,C, 36 months,RENT,Charged Off
6951.547789558385,10.370167908466357,63404.48632833388,30.083531096217463,680,E, 60 months,OWN,Fully Paid
33466.5661176,8.290770829768297,74299.78703065151,29.641650887020827,674,B, 60 months,MORTGAGE,Fully Paid
33968.96099223678,7.462110830954974,54495.03813795351,30.299785033636496,620,D, 36 months,OWN,Fully Paid
29251.920443493833,19.229486741684653,39331.59018825921,19.552839799386206,601,D, 60 months,RENT,Fully Paid
14138.41307520112,12.457624311593257,29835.250246724085,15.00885187510597,538,D, 60 months,OWN,Fully Paid
